limit_profile,index,target_wavelength_nm,measured_wavelength_nm,wavelength_error_pm,target_power_mw,measured_power_mw,power_error_percent,smsr_db,peak_count,single_mode_pass,gain_ma,soa_ma,phase_ma,wavelength_a_ma,wavelength_b_ma,gain_code,soa_code,phase_code,wavelength_a_code,wavelength_b_code,pdt_reference_code,pdr_reference_code,power_feedback_channel,power_feedback_reference_code,power_feedback_rail_margin_code,power_feedback_hardware_eligible,guard_stage_count,guard_hold_ms_per_stage
fullband_2001_145mA_v1,594,1536.880000,1536.87923000,-0.770000,2.056000,2.050146778,-0.284690,31.239081,177,1,144.998932,117.842102,6.775208,13.428955,7.584229,63351,51486,22201,11001,6213,,,,0,0,0,0,0
fullband_2001_145mA_v1,595,1536.900000,1536.89936000,-0.640000,2.056000,2.051989376,-0.195069,30.198416,185,1,144.998932,117.649841,1.805420,13.559570,7.454834,63351,51402,5916,11108,6107,,,,0,0,0,0,0
fullband_2001_145mA_v1,596,1536.920000,1536.92062000,0.620000,2.056000,2.047199067,-0.428061,31.903263,165,1,144.998932,115.168762,1.682129,13.568115,7.463379,63351,50318,5512,11115,6114,,,,0,0,0,0,0
fullband_2001_145mA_v1,597,1536.940000,1536.94000000,0.000000,2.056000,2.045461733,-0.512562,32.602014,154,1,144.998932,113.699341,1.551514,13.599854,7.500000,63351,49676,5084,11141,6144,,,,0,0,0,0,0
fullband_2001_145mA_v1,598,1536.960000,1536.95883000,-1.170000,2.056000,2.048287587,-0.375117,28.662911,132,1,144.998932,114.523315,1.428833,13.599854,7.550049,63351,50036,4682,11141,6185,,,,0,0,0,0,0
fullband_2001_145mA_v1,599,1536.980000,1536.97999000,-0.010000,2.056000,2.047805514,-0.398565,32.058955,148,1,144.998932,110.746765,1.307068,13.581543,7.553711,63351,48386,4283,11126,6188,,,,0,0,0,0,0
fullband_2001_145mA_v1,600,1537.000000,1537.00145000,1.450000,2.056000,2.098656694,2.074742,32.113352,151,1,144.998932,108.675385,1.299438,13.233643,7.514648,63351,47481,4258,10841,6156,,,,0,0,0,0,0
fullband_2001_145mA_v1,601,1537.020000,1537.01916000,-0.840000,2.056000,2.056386580,0.018803,26.972554,164,1,144.998932,111.660004,4.500122,13.356934,7.492676,63351,48785,14746,10942,6138,,,,0,0,0,0,0
fullband_2001_145mA_v1,602,1537.040000,1537.03987000,-0.130000,2.056000,2.060988588,0.242636,27.303850,161,1,144.998932,112.243652,0.965271,13.566895,7.545166,63351,49040,3163,11114,6181,,,,0,0,0,0,0
fullband_2001_145mA_v1,603,1537.060000,1537.05898000,-1.020000,2.056000,2.058948088,0.143390,29.325573,124,1,144.998932,110.153961,0.961304,13.287354,7.460938,63351,48127,3150,10885,6112,,,,0,0,0,0,0
fullband_2001_145mA_v1,604,1537.080000,1537.07944000,-0.560000,2.056000,2.053161614,-0.138054,27.873885,183,1,144.998932,107.583618,0.000000,11.701660,7.369385,63351,47004,0,9586,6037,,,,0,0,0,0,0
fullband_2001_145mA_v1,605,1537.100000,1537.09934000,-0.660000,2.056000,2.050960338,-0.245120,27.042750,154,1,144.998932,116.883087,3.500061,13.349609,7.437744,63351,51067,11469,10936,6093,,,,0,0,0,0,0
fullband_2001_145mA_v1,606,1537.120000,1537.12073000,0.730000,2.056000,2.050427713,-0.271026,33.500958,142,1,144.998932,118.952179,0.621643,13.515625,7.535400,63351,51971,2037,11072,6173,,,,0,0,0,0,0
fullband_2001_145mA_v1,607,1537.140000,1537.13971000,-0.290000,2.056000,2.056839519,0.040833,29.309751,161,1,144.998932,119.881439,0.538635,13.521729,7.484131,63351,52377,1765,11077,6131,,,,0,0,0,0,0
fullband_2001_145mA_v1,608,1537.160000,1537.15901000,-0.990000,2.056000,2.051551049,-0.216389,27.879374,155,1,144.998932,119.888306,0.510254,13.365479,7.426758,63351,52380,1672,10949,6084,,,,0,0,0,0,0
fullband_2001_145mA_v1,609,1537.180000,1537.17959000,-0.410000,2.056000,2.048402405,-0.369533,30.448397,135,1,144.998932,119.183350,0.778503,11.993408,7.440186,63351,52072,2551,9825,6095,,,,0,0,0,0,0
